Sessions, Pete	0	Congress|Congressional operations and organization
Ros-Lehtinen, Ileana	0	Assault and harassment offenses|Commemorative events and holidays|Education|Elementary and secondary education|Sex, gender, sexual orientation discrimination|Teaching, teachers, curricula
Fudge, Marcia L.	0	Commemorative events and holidays|Congress|Human rights|Racial and ethnic relations|U.S. Capitol|U.S. history
Delaney, John K.	0	Asia|Congressional oversight|Detention of persons|Diplomacy, foreign officials, Americans abroad|International affairs|Pakistan|Terrorism
Cicilline, David N.	0	Child health|Child safety and welfare|Commemorative events and holidays|Family relationships|Firearms and explosives|Health
Norton, Eleanor Holmes	0	Athletes|Congress|Congressional tributes|Disability and paralysis|Olympic games|Outdoor recreation|U.S. Capitol
Michaud, Michael H.	0	Armed forces and national security|Asia|Commemorative events and holidays|Conflicts and wars|Congressional tributes|Veterans' organizations and recognition|Vietnam
McGovern, James P.	0	Armed forces and national security|Congressional oversight|Iraq|Middle East|Military operations and strategy|Military personnel and dependents|War and emergency powers
Shuster, Bill	0	Congress|Congressional tributes|Crime victims|Terrorism|U.S. Capitol
Ros-Lehtinen, Ileana	0	Arab-Israeli relations|Congressional tributes|Gaza Strip|International affairs|International law and treaties|Israel|Middle East|Military operations and strategy|Palestinians|Terrorism|War crimes, genocide, crimes against humanity
Chaffetz, Jason	0	Budget deficits and national debt|Congress|Transportation programs funding
Franks, Trent	0	Arms control and nonproliferation|Congressional-executive branch relations|Human rights|International affairs|International law and treaties|Iran|Israel|Middle East|Nuclear weapons|Political movements and philosophies|Sanctions|Terrorism|Trade restrictions
Culberson, John Abney	0	Congress|Congressional operations and organization|Presidents and presidential powers
Fortenberry, Jeff	0	Business investment and capital|Crimes against property|Economic development|Foreign aid and international relief|Human rights|International affairs|International organizations and cooperation|Iraq|Middle East|Military operations and strategy|Racial and ethnic relations|Reconstruction and stabilization|Refugees, asylum, displaced persons|Religion|Small business|United Nations|Violent crime
Miller, Jeff	0	Congress|Health care coverage and access|Public contracts and procurement|Veterans' medical care
Petri, Thomas E.	0	Congress|Congressional operations and organization|House of Representatives|Senate
Cassidy, Bill	0	Aviation and airports|Congress|Government ethics and transparency, public corruption|Government information and archives|House of Representatives|Legislative rules and procedure|Members of Congress|Transportation costs|Travel and tourism
Grijalva, Raul M.	0	Conflicts and wars|Congressional oversight|International affairs|Iraq|Middle East|Military operations and strategy|Presidents and presidential powers|Syria|Terrorism|War and emergency powers
Scott, David	0	Civil rights and liberties, minority issues|Commemorative events and holidays|Postal service|Racial and ethnic relations
Kilmer, Derek	0	Armed forces and national security|Congressional tributes|Military operations and strategy|Military personnel and dependents
Lance, Leonard	0	Armed forces and national security|Military personnel and dependents|Postal service
Cicilline, David N.	0	Africa|Congressional tributes|Foreign aid and international relief|Guinea|Health personnel|Health programs administration and funding|Health technology, devices, supplies|Infectious and parasitic diseases|International affairs|Liberia|Medical research|Military personnel and dependents|Research and development|Sierra Leone|Social work, volunteer service, charitable organizations|World health
Ros-Lehtinen, Ileana	0	Congress|Congressional operations and organization|House of Representatives|Senate
Green, Al	0	Civil rights and liberties, minority issues|Commemorative events and holidays|Congressional tributes|Racial and ethnic relations
McCaul, Michael T.	0	Aviation and airports|Conflicts and wars|Congress|Congressional tributes|Military history|U.S. Capitol
McKeon, Howard P. "Buck"	0	Congress|Defense spending|Department of Defense|Department of Energy|Executive agency funding and structure
Rogers, Harold	0	Appropriations|Congress
McKeon, Howard P. "Buck"	0	Congress|Defense spending|Department of Defense|Executive agency funding and structure
Crenshaw, Ander	0	Congress|Disability and paralysis|Disability assistance|Income tax exclusion
